smiles_a,smiles_e,smiles_p,yeild_classification,yield_regression,type
Fc1ccc(Br)c(Cl)c1,C#Cc1ccncc1,Fc1ccc(-n2cc(-c3ccncc3)nn2)c(Cl)c1,1,7.848702388,Y
Brc1ccc2cccnc2c1,C#CC(C)=O,CC(=O)c1cn(-c2ccc3cccnc3c2)nn1,1,94.24573863,Y
Nc1cc(Br)ncn1,C#CC(C)=O,CC(=O)c1cn(-c2cc(N)ncn2)nn1,0,0,N
Fc1ccc(Br)c(Cl)c1,C#Cc1ccc(F)cc1,Fc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,1,85.8,Y
CC(C)(C)OC(=O)NCCCCBr,C#CCCCC(=O)O,CC(C)(C)OC(=O)NCCCCn1cc(CCCC(=O)O)nn1,1,84.25324228,Y
Cc1ccc(CBr)cc1,C#CCCCC(=O)O,Cc1ccc(Cn2cc(CCCC(=O)O)nn2)cc1,1,82.7648243,Y
Brc1ccc2cccnc2c1,C#CCc1ccccc1,c1ccc(Cc2cn(-c3ccc4cccnc4c3)nn2)cc1,1,82.51472596,Y
Brc1nc2ccccc2[nH]1,C#CC(C)=O,CC(=O)c1cn(-c2nc3ccccc3[nH]2)nn1,1,67.84505022,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1ccc(CC)cc1,CCc1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,1,67.7,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccsc1,CC(C)(C)c1ccc(Cn2cc(-c3ccsc3)nn2)cc1,1,66.8,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1cccc([N+](=O)[O-])c1,O=[N+]([O-])c1cccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)c1,1,66.4,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1ccsc1,FC(F)(F)c1cc(Cn2cc(-c3ccsc3)nn2)cc(C(F)(F)F)c1,1,63.3,Y
Brc1nc2ccccc2s1,C#Cc1cccs1,c1csc(-c2cn(-c3nc4ccccc4s3)nn2)c1,1,14.83780437,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1ccccc1Cl,FC(F)(F)c1cc(Cn2cc(-c3ccccc3Cl)nn2)cc(C(F)(F)F)c1,1,61.3,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccc(N)cc1,CC(C)(C)c1ccc(Cn2cc(-c3ccc(N)cc3)nn2)cc1,1,60,Y
Clc1ccc2cc(Br)ccc2n1,C#CC(C)=O,CC(=O)c1cn(-c2ccc3nc(Cl)ccc3c2)nn1,1,57.76161942,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccc([N+](=O)[O-])cc1,CC(C)(C)c1ccc(Cn2cc(-c3ccc([N+](=O)[O-])cc3)nn2)cc1,1,52.4,Y
Clc1ccc2cc(Br)ccc2n1,C#CCc1ccccc1,Clc1ccc2cc(-n3cc(Cc4ccccc4)nn3)ccc2n1,1,50.93114822,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccc(C#N)cc1,CC(C)(C)c1ccc(Cn2cc(-c3ccc(C#N)cc3)nn2)cc1,1,57,Y
Fc1ccc(Br)c(Cl)c1,C#Cc1ccc(C#N)cc1,N#Cc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,1,48.1,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccc(Cl)cc1,CC(C)(C)c1ccc(Cn2cc(-c3ccc(Cl)cc3)nn2)cc1,1,47.5,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1ccc(F)cc1,Fc1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,1,50.86045667,Y
Clc1ccc2cc(Br)ccc2n1,C#CCCCC(=O)O,O=C(O)CCCc1cn(-c2ccc3nc(Cl)ccc3c2)nn1,1,45.01771158,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,1,45,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccc(C(=O)OC)cc1,COC(=O)c1ccc(-c2cn(Cc3ccc(C(C)(C)C)cc3)nn2)cc1,1,44.5,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1ccc(CC)cc1,CCc1ccc(-c2cn(Cc3ccc(C(C)(C)C)cc3)nn2)cc1,1,44.2,Y
COc1ccc(Br)c(OC)c1,C#CCC(=O)OC,COC(=O)Cc1cn(-c2ccc(OC)cc2OC)nn1,1,42.72,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1cccc([N+](=O)[O-])c1,CC(C)(C)c1ccc(Cn2cc(-c3cccc([N+](=O)[O-])c3)nn2)cc1,1,42.4,Y
Fc1ccc(Br)c(Cl)c1,C#Cc1cccc([N+](=O)[O-])c1,O=[N+]([O-])c1cccc(-c2cn(-c3ccc(F)cc3Cl)nn2)c1,1,42.3,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1ccc(OC)cc1,COc1ccc(-c2cn(Cc3cc(C(F)(F)F)cc(C(F)(F)F)c3)nn2)cc1,1,42.2,Y
OCCCBr,C#CCCCC(=O)O,O=C(O)CCCc1cn(CCCO)nn1,1,41.62328709,Y
CC(C)(C)c1ccc(CBr)cc1,C#Cc1cccc(Cl)c1,CC(C)(C)c1ccc(Cn2cc(-c3cccc(Cl)c3)nn2)cc1,1,40.1,Y
FC(F)(F)c1cc(CBr)cc(C(F)(F)F)c1,C#Cc1ccc(Cl)cc1,FC(F)(F)c1cc(Cn2cc(-c3ccc(Cl)cc3)nn2)cc(C(F)(F)F)c1,1,38.8,Y
